timestamp_hour,site_id,arrivals_per_hour,average_service_time_minutes,average_waiting_time_minutes,average_queue_length,maximum_queue_length,charger_utilization,active_charging_sessions,completed_sessions
2018-09-05 11:00:00,Caltech,1,488.32,0.0,0.0,0,0.1364,4.09,0
2018-09-05 11:00:00,JPL,2,333.12,0.0,0.0,0,0.0603,1.93,0
2018-09-05 12:00:00,Caltech,0,,,0.0,0,0.1667,5.0,0
2018-09-05 12:00:00,JPL,2,648.21,0.0,0.0,0,0.0798,2.55,0
2018-09-05 13:00:00,Caltech,2,571.67,0.0,0.0,0,0.1831,5.49,1
2018-09-05 13:00:00,JPL,7,527.12,0.0,0.0,0,0.2447,7.83,0
2018-09-05 14:00:00,Caltech,10,521.94,0.0,0.0,0,0.3599,10.8,1
2018-09-05 14:00:00,JPL,5,494.63,0.0,0.0,0,0.4554,14.57,1
2018-09-05 15:00:00,Caltech,18,445.15,20.07,0.26,3,0.7133,21.4,0
2018-09-05 15:00:00,JPL,0,,,0.0,0,0.4688,15.0,0
2018-09-05 16:00:00,Caltech,13,423.81,324.23,9.69,15,1.0,30.0,1
2018-09-05 16:00:00,JPL,1,381.2,0.0,0.0,0,0.4687,15.0,1
2018-09-05 17:00:00,Caltech,2,749.81,372.25,15.82,17,1.0,30.0,0
2018-09-05 17:00:00,JPL,0,,,0.0,0,0.4688,15.0,0
2018-09-05 18:00:00,Caltech,2,188.77,335.18,17.37,18,1.0,30.0,2
2018-09-05 18:00:00,JPL,0,,,0.0,0,0.4417,14.13,1
2018-09-05 19:00:00,Caltech,2,213.47,291.82,16.61,18,1.0,30.0,3
2018-09-05 19:00:00,JPL,3,239.39,0.0,0.0,0,0.4711,15.08,1
2018-09-05 20:00:00,Caltech,4,331.32,241.88,17.05,19,1.0,30.0,1
2018-09-05 20:00:00,JPL,1,169.13,0.0,0.0,0,0.5262,16.84,0
2018-09-05 21:00:00,Caltech,3,172.94,198.82,18.9,20,1.0,30.0,2
2018-09-05 21:00:00,JPL,1,282.62,0.0,0.0,0,0.544,17.41,0
2018-09-05 22:00:00,Caltech,1,119.73,148.73,19.93,20,1.0,30.0,1
2018-09-05 22:00:00,JPL,4,87.77,0.0,0.0,0,0.5272,16.87,8
2018-09-05 23:00:00,Caltech,2,99.79,144.27,16.74,20,1.0,30.0,8
2018-09-05 23:00:00,JPL,1,17.87,0.0,0.0,0,0.3051,9.76,8
2018-09-06 00:00:00,Caltech,4,130.68,151.64,10.04,14,1.0,30.0,10
2018-09-06 00:00:00,JPL,2,99.07,0.0,0.0,0,0.1684,5.39,6
2018-09-06 01:00:00,Caltech,7,124.82,139.32,10.6,12,1.0,30.0,4
2018-09-06 01:00:00,JPL,1,60.5,0.0,0.0,0,0.0787,2.52,1
2018-09-06 02:00:00,Caltech,7,167.6,123.32,12.46,17,1.0,30.0,1
2018-09-06 02:00:00,JPL,0,,,0.0,0,0.0571,1.83,2
2018-09-06 03:00:00,Caltech,5,464.94,136.56,16.33,19,1.0,30.0,9
2018-09-06 03:00:00,JPL,0,,,0.0,0,0.0052,0.17,1
2018-09-06 04:00:00,Caltech,0,,,10.14,13,1.0,30.0,7
2018-09-06 04:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-06 05:00:00,Caltech,4,276.37,46.81,6.24,9,1.0,30.0,9
2018-09-06 05:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-06 06:00:00,Caltech,1,200.0,0.0,0.03,1,0.785,23.55,11
2018-09-06 06:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-06 07:00:00,Caltech,0,,,0.0,0,0.4921,14.76,10
2018-09-06 07:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-06 08:00:00,Caltech,0,,,0.0,0,0.3667,11.0,0
2018-09-06 08:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-06 09:00:00,Caltech,1,354.78,0.0,0.0,0,0.3599,10.8,2
2018-09-06 09:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-06 10:00:00,Caltech,0,,,0.0,0,0.3064,9.19,1
2018-09-06 10:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-06 11:00:00,Caltech,1,505.57,0.0,0.0,0,0.3038,9.11,0
2018-09-06 11:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-06 12:00:00,Caltech,0,,,0.0,0,0.3333,10.0,0
2018-09-06 12:00:00,JPL,2,633.13,0.0,0.0,0,0.0153,0.49,0
2018-09-06 13:00:00,Caltech,7,328.68,0.0,0.0,0,0.4191,12.57,0
