Metric,DT_Assisted,Baseline
Caltech_prediction_mae,0.9118,0.8105
Caltech_prediction_rmse,2.0255,1.7212
Caltech_prediction_mape,89.4823,76.7373
JPL_prediction_mae,1.2267,1.1875
JPL_prediction_rmse,3.007,2.746
JPL_prediction_mape,73.2194,74.284
Caltech_queue_error,0.3163,0.1382
Caltech_wait_error,1371.5902,1416.6716
Caltech_util_error,0.0311,0.0215
JPL_queue_error,0.3286,0.3114
JPL_wait_error,66.1113,91.253
JPL_util_error,0.0305,0.0336
avg_routed_to_caltech,0.9903,0.8054
avg_routed_to_jpl,1.1396,1.3245
avg_sim_wait,695.6404,738.7306
avg_sim_queue,10.9208,11.6534
avg_sim_util,0.0621,0.0617
peak_congestion_caltech,1.0,0.973
peak_congestion_jpl,1.0,1.0
util_balance_mae,0.0324,0.0365
