timestamp_hour,site_id,arrivals_per_hour,average_service_time_minutes,average_waiting_time_minutes,average_queue_length,maximum_queue_length,charger_utilization,active_charging_sessions,completed_sessions
2018-09-05 11:00:00,Caltech,1,488.32,112911.23,3389.96,3390,1.0,10.0,1
2018-09-05 11:00:00,JPL,2,333.12,0.0,0.0,0,0.1286,1.93,0
2018-09-05 12:00:00,Caltech,0,,,3389.67,3390,1.0,10.0,1
2018-09-05 12:00:00,JPL,2,648.21,0.0,0.0,0,0.1703,2.55,0
2018-09-05 13:00:00,Caltech,2,571.67,112816.1,3388.92,3390,1.0,10.0,3
2018-09-05 13:00:00,JPL,7,527.12,0.0,0.0,0,0.522,7.83,0
2018-09-05 14:00:00,Caltech,10,521.94,113124.39,3392.0,3395,1.0,10.0,3
2018-09-05 14:00:00,JPL,5,494.63,0.0,0.0,0,0.9714,14.57,1
2018-09-05 15:00:00,Caltech,18,445.15,113892.61,3400.98,3411,1.0,10.0,2
2018-09-05 15:00:00,JPL,0,,,0.0,0,1.0,15.0,0
2018-09-05 16:00:00,Caltech,13,423.81,114570.32,3417.28,3421,1.0,10.0,3
2018-09-05 16:00:00,JPL,1,381.2,0.0,0.0,0,0.9999,15.0,1
2018-09-05 17:00:00,Caltech,2,749.81,114869.72,3421.53,3423,1.0,10.0,1
2018-09-05 17:00:00,JPL,0,,,0.0,0,1.0,15.0,0
2018-09-05 18:00:00,Caltech,2,188.77,115005.37,3420.67,3422,1.0,10.0,4
2018-09-05 18:00:00,JPL,0,,,0.0,0,0.9422,14.13,1
2018-09-05 19:00:00,Caltech,2,213.47,115024.38,3419.09,3420,1.0,10.0,3
2018-09-05 19:00:00,JPL,3,239.39,54.7,0.37,1,0.9802,14.7,1
2018-09-05 20:00:00,Caltech,4,331.32,114984.85,3419.34,3420,1.0,10.0,3
2018-09-05 20:00:00,JPL,1,169.13,142.85,1.84,2,1.0,15.0,0
2018-09-05 21:00:00,Caltech,3,172.94,115048.76,3420.29,3421,1.0,10.0,2
2018-09-05 21:00:00,JPL,1,282.62,57.53,2.41,3,1.0,15.0,0
2018-09-05 22:00:00,Caltech,1,119.73,115081.33,3419.9,3421,1.0,10.0,3
2018-09-05 22:00:00,JPL,4,87.77,6.54,1.89,3,1.0,15.0,7
2018-09-05 23:00:00,Caltech,2,99.79,115081.02,3419.07,3420,1.0,10.0,3
2018-09-05 23:00:00,JPL,1,17.87,0.0,0.0,0,0.7617,11.43,7
2018-09-06 00:00:00,Caltech,4,130.68,115075.19,3419.8,3422,1.0,10.0,0
2018-09-06 00:00:00,JPL,2,99.07,0.0,0.0,0,0.494,7.41,6
2018-09-06 01:00:00,Caltech,7,124.82,115084.32,3423.65,3425,1.0,10.0,5
2018-09-06 01:00:00,JPL,1,60.5,0.0,0.0,0,0.2732,4.1,2
2018-09-06 02:00:00,Caltech,7,167.6,115123.97,3425.57,3429,1.0,10.0,2
2018-09-06 02:00:00,JPL,0,,,0.0,0,0.1863,2.79,2
2018-09-06 03:00:00,Caltech,5,464.94,115158.87,3431.83,3433,1.0,10.0,1
2018-09-06 03:00:00,JPL,0,,,0.0,0,0.0284,0.43,2
2018-09-06 04:00:00,Caltech,0,,,3431.97,3433,1.0,10.0,2
2018-09-06 04:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-06 05:00:00,Caltech,4,276.37,115098.39,3433.84,3435,1.0,10.0,2
2018-09-06 05:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-06 06:00:00,Caltech,1,200.0,115027.72,3432.92,3433,1.0,10.0,2
2018-09-06 06:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-06 07:00:00,Caltech,0,,,3429.33,3432,1.0,10.0,4
2018-09-06 07:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-06 08:00:00,Caltech,0,,,3428.0,3428,1.0,10.0,0
2018-09-06 08:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-06 09:00:00,Caltech,1,354.78,114948.03,3426.22,3429,1.0,10.0,4
2018-09-06 09:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-06 10:00:00,Caltech,0,,,3424.41,3425,1.0,10.0,1
2018-09-06 10:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-06 11:00:00,Caltech,1,505.57,114822.02,3423.94,3424,1.0,10.0,1
2018-09-06 11:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-06 12:00:00,Caltech,0,,,3423.02,3424,1.0,10.0,1
2018-09-06 12:00:00,JPL,2,633.13,0.0,0.0,0,0.0327,0.49,0
2018-09-06 13:00:00,Caltech,7,328.68,114954.35,3425.57,3430,1.0,10.0,0
2018-09-06 13:00:00,JPL,9,396.48,0.0,0.0,0,0.437,6.55,0
2018-09-06 14:00:00,Caltech,5,402.69,115117.18,3430.98,3433,1.0,10.0,2
2018-09-06 14:00:00,JPL,9,540.4,94.18,1.01,4,0.9476,14.21,1
2018-09-06 15:00:00,Caltech,20,469.59,115640.58,3441.9,3451,1.0,10.0,2
2018-09-06 15:00:00,JPL,8,424.51,435.08,6.95,11,1.0,15.0,1
2018-09-06 16:00:00,Caltech,12,444.65,116327.27,3457.39,3460,1.0,10.0,4
2018-09-06 16:00:00,JPL,4,373.67,478.97,13.39,15,1.0,15.0,0
2018-09-06 17:00:00,Caltech,2,400.72,116528.61,3460.09,3461,1.0,10.0,0
2018-09-06 17:00:00,JPL,0,,,15.0,15,1.0,15.0,0
2018-09-06 18:00:00,Caltech,3,333.61,116615.23,3461.17,3463,1.0,10.0,3
2018-09-06 18:00:00,JPL,2,366.48,398.67,15.63,17,1.0,15.0,0
2018-09-06 19:00:00,Caltech,2,172.22,116656.57,3459.7,3462,1.0,10.0,5
2018-09-06 19:00:00,JPL,2,179.82,417.39,15.74,17,1.0,15.0,3
2018-09-06 20:00:00,Caltech,1,282.28,116657.72,3457.56,3458,1.0,10.0,3
2018-09-06 20:00:00,JPL,0,,,15.19,16,1.0,15.0,1
2018-09-06 21:00:00,Caltech,3,214.9,116708.86,3455.95,3458,1.0,10.0,5
2018-09-06 21:00:00,JPL,0,,,14.68,15,1.0,15.0,1
2018-09-06 22:00:00,Caltech,4,82.23,116681.5,3453.68,3455,1.0,10.0,4
2018-09-06 22:00:00,JPL,5,87.01,374.33,14.95,18,1.0,15.0,1
2018-09-06 23:00:00,Caltech,3,147.6,116660.36,3453.49,3454,1.0,10.0,3
2018-09-06 23:00:00,JPL,2,138.88,394.77,17.86,20,1.0,15.0,5
2018-09-07 00:00:00,Caltech,9,121.28,116698.47,3458.08,3462,1.0,10.0,1
2018-09-07 00:00:00,JPL,0,,,12.54,15,1.0,15.0,4
2018-09-07 01:00:00,Caltech,7,216.22,116740.72,3463.87,3467,1.0,10.0,2
2018-09-07 01:00:00,JPL,1,123.02,266.53,9.84,11,1.0,15.0,2
2018-09-07 02:00:00,Caltech,5,69.03,116783.02,3469.66,3472,1.0,10.0,0
2018-09-07 02:00:00,JPL,0,,,9.1,10,1.0,15.0,2
2018-09-07 03:00:00,Caltech,6,361.23,116777.61,3475.32,3478,1.0,10.0,2
2018-09-07 03:00:00,JPL,0,,,7.7,8,1.0,15.0,1
2018-09-07 04:00:00,Caltech,3,277.62,116759.57,3477.01,3479,1.0,10.0,0
2018-09-07 04:00:00,JPL,0,,,6.4,7,1.0,15.0,1
2018-09-07 05:00:00,Caltech,1,50.72,116741.93,3479.36,3480,1.0,10.0,0
2018-09-07 05:00:00,JPL,0,,,3.84,6,1.0,15.0,5
2018-09-07 06:00:00,Caltech,2,50.8,116716.27,3480.98,3482,1.0,10.0,0
2018-09-07 06:00:00,JPL,0,,,0.26,1,0.8889,13.33,5
2018-09-07 07:00:00,Caltech,0,,,3481.19,3482,1.0,10.0,1
2018-09-07 07:00:00,JPL,0,,,0.0,0,0.5959,8.94,4
2018-09-07 08:00:00,Caltech,1,183.67,116616.07,3480.47,3481,1.0,10.0,3
2018-09-07 08:00:00,JPL,0,,,0.0,0,0.3611,5.42,5
2018-09-07 09:00:00,Caltech,0,,,3477.31,3479,1.0,10.0,2
2018-09-07 09:00:00,JPL,0,,,0.0,0,0.0895,1.34,2
2018-09-07 10:00:00,Caltech,0,,,3475.76,3477,1.0,10.0,2
2018-09-07 10:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-07 11:00:00,Caltech,1,515.62,116456.55,3475.76,3476,1.0,10.0,0
2018-09-07 11:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-07 12:00:00,Caltech,0,,,3475.12,3476,1.0,10.0,2
2018-09-07 12:00:00,JPL,2,522.87,0.0,0.0,0,0.0135,0.2,0
2018-09-07 13:00:00,Caltech,2,77.14,116343.61,3474.49,3475,1.0,10.0,1
2018-09-07 13:00:00,JPL,7,447.73,0.0,0.0,0,0.4002,6.0,0
2018-09-07 14:00:00,Caltech,7,435.17,116499.3,3478.39,3482,1.0,10.0,0
2018-09-07 14:00:00,JPL,13,474.45,147.38,1.7,7,0.9216,13.82,0
2018-09-07 15:00:00,Caltech,26,411.04,117120.74,3491.07,3507,1.0,10.0,1
2018-09-07 15:00:00,JPL,10,339.3,439.96,10.67,16,1.0,15.0,1
2018-09-07 16:00:00,Caltech,13,383.24,117854.84,3515.09,3520,1.0,10.0,0
