Metric,DT_Assisted,Baseline
Caltech_prediction_mae,0.9648,0.8544
Caltech_prediction_rmse,2.0296,1.6874
Caltech_prediction_mape,88.0791,74.012
JPL_prediction_mae,1.2782,1.246
JPL_prediction_rmse,2.9934,2.7335
JPL_prediction_mape,72.0229,74.115
Caltech_queue_error,0.3247,0.124
Caltech_wait_error,82.3192,46.0108
Caltech_util_error,0.0315,0.0215
JPL_queue_error,0.3329,0.3078
JPL_wait_error,65.3115,91.5765
JPL_util_error,0.0304,0.0337
avg_routed_to_caltech,1.0037,0.8055
avg_routed_to_jpl,1.1264,1.3246
avg_sim_wait,94.0609,102.8269
avg_sim_queue,0.898,1.0267
avg_sim_util,0.062,0.0617
peak_congestion_caltech,1.0,0.973
peak_congestion_jpl,1.0,1.0
util_balance_mae,0.0318,0.0364
